id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
010000,Mitte,25498,373,182,2360,704,668,10873,185,1286,1001,505,105,42,1842,401,849,4930
011001,Tiergarten Süd,34097,405,257,3755,1332,771,15214,125,2096,872,530,93,23,1745,179,950,6629
011002,Regierungsviertel,68654,629,271,4758,1344,1398,32246,98,2775,1593,401,87,43,3544,1279,900,8660
011003,Alexanderplatz,37230,407,212,2963,937,544,17423,147,1365,1537,575,99,57,2854,1008,748,5878
011004,Brunnenstraße Süd,15485,192,96,925,238,238,7190,326,676,1486,503,54,19,1724,587,733,2779
012005,Moabit West,17276,292,107,1447,446,451,5685,214,892,762,382,93,52,1174,140,581,3220
012006,Moabit Ost,24646,221,102,1863,495,588,8916,164,902,908,254,96,25,1176,204,1100,3752
013007,Osloer Straße,22023,328,123,2170,634,737,10316,146,1167,760,634,107,50,1453,233,653,4694
013008,Brunnenstraße Nord,17500,371,174,1800,520,531,7999,188,1220,585,709,93,17,1347,247,416,4114
014009,Parkviertel,15522,245,102,1799,502,733,6433,171,1169,854,374,114,40,1245,138,540,4117
014010,Wedding Zentrum,17094,378,170,2167,782,684,6135,103,727,540,557,93,41,1414,159,1002,4588
019900,"Bezirk (Mi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
020000,Friedrichshain-Kreuzberg,18806,325,189,1729,518,432,8262,163,892,1231,455,118,39,2061,491,694,4122
021001,Südliche  Friedrichstadt,19871,354,163,1815,566,647,7477,127,1098,777,558,117,33,1766,311,851,4412
022002,Tempelhofer Vorstadt,15364,229,106,1303,391,333,7569,133,867,1392,633,91,34,1360,304,487,3276
023003,Nördliche Luisenstadt,20562,446,258,2089,657,502,9955,103,723,1328,483,136,42,1765,314,620,4464
023004,Südliche Luisenstadt,15581,372,277,1417,499,372,6694,117,718,1216,590,98,44,1643,492,1340,3515
024005,Karl-Marx-Allee Nord,11663,245,134,999,259,236,5319,290,856,803,250,67,22,1538,210,85,2666
024006,Karl-Marx-Allee Süd,26397,297,193,2373,585,473,12051,159,834,1204,254,86,30,2382,525,610,4703
025007,Frankfurter Allee Nord,13309,117,55,905,308,267,5608,201,399,1022,216,169,55,1769,297,169,2824
025008,Frankfurter Allee Süd FK,17070,264,139,1805,597,324,7445,121,588,1226,352,126,40,2357,631,514,4195
029900,"Bezirk (Fh-Kb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
030000,Pankow,10703,112,45,760,187,262,5530,210,695,1127,297,56,23,1286,352,142,2298
031001,Buch,13499,114,38,1148,350,327,7555,213,1262,1436,160,129,46,1543,410,243,2333
032002,Blankenfelde/Niederschönhausen,6150,43,16,479,93,191,2824,140,611,561,261,97,51,752,109,43,1192
032003,Buchholz,5790,47,12,421,71,207,2613,107,385,308,225,59,6,622,77,77,1025
033004,Karow,4686,11,0,236,43,183,2483,59,425,908,102,43,27,629,161,21,768
033005,Blankenburg/Heinersdorf/Märchenland,10243,49,7,423,63,106,5897,92,1037,938,388,56,14,847,92,106,903
034006,Schönholz/Wilhelmsruh/Rosenthal,6603,117,47,409,129,129,3196,88,742,584,473,41,6,771,99,105,1204
034007,Pankow Zentrum,10199,88,30,575,173,225,5925,167,523,1465,185,40,15,1073,298,82,2292
034008,Pankow Süd,7468,59,28,581,106,205,3740,143,482,1185,155,28,22,871,264,68,1794
035009,Weißensee,9361,90,39,835,209,272,4398,129,536,637,278,51,33,1361,449,150,2313
035010,Weißensee Ost,8757,132,53,673,145,330,3933,132,627,488,152,20,7,1208,211,112,2105
036011,Prenzlauer Berg Nordwest,13144,200,58,843,255,300,6902,371,668,1623,325,83,38,1248,421,184,2825
036012,Prenzlauer Berg Nord,12119,111,31,568,127,211,7043,319,518,1532,257,19,0,1010,288,111,2112
036013,Helmholtzplatz,11047,102,23,777,186,237,5575,191,312,1308,461,37,14,1149,456,98,2699
036014,Prenzlauer Berg Ost,15742,215,106,942,288,288,8273,203,751,1125,248,73,32,1759,625,171,2721
037015,Prenzlauer Berg Südwest,14348,69,45,1376,373,268,7887,211,852,1498,597,37,8,2078,755,134,3925
037016,Prenzlauer Berg Süd,8516,45,19,507,97,255,4279,323,511,1034,410,45,13,1218,259,158,2072
039900,"Bezirk (Pk), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
040000,Charlottenburg-Wilmersdorf,16012,203,78,1333,377,450,7596,223,1190,1002,487,42,14,1255,267,336,3156
041001,Charlottenburg Nord,12790,213,66,1448,388,634,4711,235,1148,322,541,44,11,1093,22,847,3684
042002,Heerstraße,10206,126,55,1174,465,276,4461,260,1269,378,402,63,16,1103,307,181,2136
042003,Westend,13756,144,46,729,179,368,7191,205,965,623,425,23,8,1045,106,122,2272
043004,Schloss Charlottenburg,11117,158,53,853,202,370,5315,185,781,1194,404,32,7,1116,331,231,2424
043005,Mierendorffplatz,13261,207,76,1088,296,406,5904,200,1247,985,269,83,34,958,124,675,2700
043006,Otto-Suhr-Allee/Kantstraße,20554,235,73,1340,369,486,10013,123,960,1377,494,52,19,1355,233,429,3321
044007,Grunewald,8579,55,28,540,72,292,4752,165,1432,457,1068,11,0,727,171,17,2070
044008,Schmargendorf,7509,53,16,478,94,219,4101,181,987,603,437,12,6,687,94,59,1424
045009,Halensee,14263,130,55,1013,260,441,6436,288,1241,1036,520,63,24,1194,382,236,2743
045010,Lietzenburger Straße,29261,422,185,2963,1099,622,13950,258,1403,1109,583,44,16,1658,458,469,5478
045011,Volkspark Wilmersdorf,10792,172,65,734,213,298,5113,185,825,1106,343,35,15,919,187,143,2074
049900,"Bezirk (Ch-Wi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
050000,Spandau,12299,162,65,1286,316,492,5006,114,664,478,266,79,28,1471,245,217,3263
051001,Hakenfelde,8017,70,13,896,189,347,3815,83,720,338,237,22,9,861,61,119,2573
051002,Falkenhagener Feld,7875,99,33,1040,278,438,2791,76,372,265,186,66,28,1019,107,122,2844
051003,Spandau Mitte,16750,292,139,1865,513,693,6462,80,530,681,203,71,21,1635,301,569,4408
052004,Brunsbütteler Damm,7303,49,18,686,178,254,3320,111,446,250,201,98,13,927,89,40,1613
052005,Heerstraße,10854,150,69,1426,344,530,3887,132,435,216,340,113,55,1518,124,99,3620
052006,Wilhelmstadt,16935,187,65,1402,356,487,6623,50,585,710,294,71,30,2121,701,238,3386
053007,Haselhorst,15336,227,99,1091,241,411,7618,234,1318,595,369,57,7,1637,142,227,3756
053008,Siemensstadt,13076,245,59,1308,295,515,5855,211,793,683,329,51,34,1282,245,186,3214
054009,Gatow/Kladow,4656,28,6,396,78,123,2208,112,636,145,362,67,28,652,95,0,803
059900,"Bezirk (Sp), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
060000,Steglitz-Zehlendorf,8729,97,37,596,118,289,4219,158,808,533,327,39,13,1048,262,101,1638
061001,Schloßstraße,19173,269,125,943,237,228,10773,125,984,794,367,33,5,1128,260,200,2345
061002,Albrechtstraße,6613,101,33,472,52,281,3022,167,644,390,264,27,16,809,227,80,1491
062003,Lankwitz,6574,82,34,584,123,361,2538,103,462,252,214,26,7,844,168,118,1656
062004,Ostpreußendamm,7029,34,11,587,175,175,3304,146,665,550,275,34,14,966,218,80,1307
063005,Teltower Damm,7067,64,15,433,116,232,3648,110,689,842,314,31,6,943,214,146,1235
063006,Drakestraße,6926,35,4,399,69,197,3694,186,646,464,295,30,17,707,132,46,1255
064007,Zehlendorf Südwest,8728,90,19,542,90,296,3822,222,818,331,444,70,23,1149,397,66,1360
064008,Zehlendorf Nord,8652,87,41,572,115,245,4437,147,1168,555,500,46,14,1216,370,62,1548
069900,"Bezirk (St-Zd), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
070000,Tempelhof-Schöneberg,11978,167,74,983,225,398,5321,154,908,663,343,64,21,1194,251,326,2525
071001,Schöneberg Nordwest,22928,573,264,2165,635,573,11122,115,986,722,594,62,21,1600,272,437,4623
071002,Schöneberg Nordost,11248,163,79,862,246,378,5156,101,686,1235,646,62,26,1297,365,334,3006
072003,Schöneberg Südwest,9216,116,56,606,116,222,4411,141,606,989,464,25,15,984,323,267,1943
072004,Schöneberg Südost,16341,132,47,1375,322,336,6450,97,573,1228,455,72,29,1278,401,537,2993
073005,Friedenau West,8862,51,4,544,120,278,5017,116,629,1023,287,21,9,835,321,128,1588
073006,Friedenau Ost,9272,110,43,823,191,388,4301,172,694,651,263,62,19,971,153,139,2029
074007,Tempelhof Nord,13875,135,43,887,190,441,4596,159,655,667,269,55,12,1120,184,900,2411
074008,Tempelhof Südwest,12477,142,54,926,213,524,5483,193,953,602,237,71,27,1092,257,193,2397
074009,Tempelhof Südost,18344,178,37,1045,260,697,8200,237,2061,378,334,126,82,1772,148,237,3492
075010,Mariendorf Nord,7526,111,30,715,154,292,3249,128,745,225,272,60,13,890,164,121,2125
075011,Mariendorf Süd,8686,104,50,661,154,263,3960,134,1262,273,248,40,20,964,109,179,1560
076012,Marienfelde Nord,8155,70,35,879,170,264,3535,182,873,469,193,64,23,903,141,223,1700
076013,Marienfelde Süd,9620,82,22,765,111,356,5419,223,431,327,134,45,7,779,82,74,2286
076014,Lichtenrade Nord,5515,54,39,455,88,162,2620,137,1117,132,402,78,10,789,49,147,1205
076015,Lichtenrade Süd,6591,75,41,741,130,250,2422,120,635,288,226,48,14,1033,281,182,1578
079900,"Bezirk (Th-Sb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
080000,Neukölln,14191,243,120,1384,403,505,6058,125,910,460,440,77,30,1444,250,500,3593
081001,Schillerpromenade,19571,511,249,2034,667,731,7410,80,667,536,479,99,57,1532,271,2624,5999
081002,Neuköllner Mitte/Zentrum,25159,356,142,2420,755,736,10983,99,779,452,538,171,64,2129,442,383,5585
081003,Reuterstraße,13419,234,107,1376,434,386,6208,107,587,719,620,53,28,1216,239,452,3720
081004,Rixdorf,12613,267,127,1510,512,542,5211,92,725,639,512,81,41,1314,209,239,3775
081005,Köllnische Heide,17145,147,80,1580,482,730,7625,308,1774,295,402,100,27,1995,408,241,3950
082006,Britz Nord,12130,148,82,1128,312,476,5435,170,1461,345,465,49,16,1084,142,186,3005
082007,Britz,10603,213,137,810,173,314,4708,164,1152,452,399,80,40,1200,155,97,2059
082008,Buckow,6420,83,18,694,191,379,2189,87,762,152,224,29,11,932,213,47,1712
083009,Gropiusstadt West,14639,165,93,1000,247,319,7518,52,577,448,237,26,5,1613,258,88,3210
083010,Gropiusstadt Ost,6848,77,36,849,131,398,2670,83,415,291,125,42,0,1074,166,83,2403
084011,Buckow Nord,9511,150,32,644,118,354,4304,118,762,129,494,54,11,666,32,64,1793
084012,Rudow,6480,79,45,434,114,205,2866,133,850,262,431,21,10,815,141,55,1153
089900,"Bezirk (Nk), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
090000,Treptow-Köpenick,9402,93,39,794,176,276,4078,131,648,660,250,59,25,1369,419,128,1887
091001,Alt-Treptow,16626,380,217,1204,362,299,9014,136,715,1747,480,27,18,1647,624,290,3240
091002,Plänterwald,8400,83,46,543,166,166,4287,166,791,589,313,28,9,1472,368,18,2033
091003,Baumschulenweg,8422,104,46,656,155,317,3477,132,725,455,426,52,23,1583,679,201,1917
091004,Johannisthal,7099,93,38,490,147,256,2945,109,468,267,261,44,11,1002,289,60,1236
092005,Oberschöneweide,11083,67,15,1533,292,364,3988,200,564,349,261,87,51,1584,277,138,3071
092006,Niederschöneweide,19943,245,104,1585,377,415,8377,104,594,858,179,85,47,3113,1840,358,3085
092007,Adlershof,13090,167,45,805,167,277,5985,142,631,1050,219,52,39,1282,361,122,2016
092008,Köllnische Vorstadt/Spindlersfeld,10049,81,10,1173,293,303,3872,91,435,748,142,131,20,1961,677,172,2558
093009,Altglienicke,4958,43,23,568,86,257,1999,97,377,362,276,27,8,622,136,51,1135
093010,Bohnsdorf,5658,17,0,482,91,241,2684,141,432,307,224,42,8,748,224,100,1063
093011,Grünau,8503,54,0,485,198,162,4027,72,971,1043,377,18,18,1438,665,54,1330
093012,Schmöckwitz,12175,0,0,272,74,99,3192,49,1089,74,346,49,49,668,173,0,569
094013,Köpenick Süd,4552,9,0,293,18,89,2205,107,649,204,89,62,18,720,53,27,880
094014,Allende-Viertel,6185,27,0,601,109,273,2796,164,364,665,55,9,0,1047,155,64,1548
094015,Altstadt Köpenick,8836,47,0,1089,233,327,3002,47,311,793,62,78,47,1696,560,93,2442
094016,Müggelheim,3593,15,15,153,0,183,1544,107,566,245,122,15,15,642,31,15,627
095017,Friedrichshagen,5488,52,11,367,75,161,2804,75,465,940,155,29,6,912,247,29,958
095018,Rahnsdorf,5594,11,11,279,78,89,3260,167,581,1161,491,22,0,514,45,22,603
095019,Dammvorstadt,15222,42,21,1325,360,212,5936,64,403,975,127,127,74,1696,572,371,2576
095020,Köpenick Nord,4364,41,16,334,57,147,1881,33,318,326,269,16,0,627,98,33,871
099900,"Bezirk (Tp-Kp), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100000,Marzahn-Hellersdorf,9954,132,59,1219,250,371,3881,180,710,429,183,97,31,1372,320,123,2478
101001,Marzahn Nord,10530,149,61,1900,373,456,3405,140,526,404,136,136,44,1593,316,219,3497
